text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
nfs,nfs,PROPN,NNP,compound,True,False,8,[u'Optional password for the admin user created on the NFS node ', u'Name of admin user account to be created on NFS node If the value is not provided and no user configuration is provided in the config file current user s name will be used ']
install,install,VERB,VBZ,relcl,True,False,18,[u'URL of a Helm chart that installs ACI Connector ', u'Install support for deploying ACIs of this operating system type ']
root,root,NOUN,NN,compound,True,False,36,[u'Root certificate name', u'The path in the specified Data Lake Store account where the action should take place In the format folder file txt where the first after the DNS indicates the root of the file system ']
example,example,NOUN,NN,pobj,True,False,422,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
windowsserver,windowsserver,PROPN,NNP,compound,True,False,1,[u'OS image reference This can be either publisher offer sku version format or a fully qualified ARM image id of the form subscriptions subscriptionId resourceGroups resourceGroup providers Microsoft Compute images imageName If publisher offer sku version format version is optional and if omitted latest will be used Valid values can be retrieved via az batch pool node agent skus list For example MicrosoftWindowsServer WindowsServer 2012 R2 Datacenter latest ']
give,give,VERB,VBN,pcomp,True,False,150,[u'Create Authorization Rule for given Service Bus Topic', u'Create Authorization Rule for given Service Bus Topic']
aaaa,aaaa,PROPN,NNP,compound,True,False,15,[u'Remove AAAA record from its record set ', u'Remove an AAAA record from its record set ']
someuser,someuser,NOUN,NN,amod,True,False,1,[u'The user principal name someuser contoso com It must contain one of the verified domains for the tenant ']
ndnhnmns,ndnhnmns,PROPN,NNP,compound,True,False,1,[u'Time span over which to apply aggregation in nDnHnMnS shorthand or full ISO8601 format ']
scheduling,scheduling,NOUN,NN,dobj,True,False,11,[u'Enables task scheduling on the specified compute node You can enable task scheduling on a node only if its current scheduling state is disabled ', u'Enables task scheduling on the specified compute node You can enable task scheduling on a node only if its current scheduling state is disabled ']
ubuntudsvm,ubuntudsvm,PROPN,NNP,dobj,True,False,1,[u'Operation system image for cluster nodes The value may contain an alias UbuntuLTS UbuntuDSVM or specify image details in the form publisher offer sku version If image configuration is not provided via command line or configuration file Batch AI will choose default OS image']
guarantee,guarantee,VERB,VBN,ROOT,True,False,3,[u'The minumum capacity in DTUs or vcores each database is guaranteed ', u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
mycommand,mycommand,PROPN,NNP,dobj,True,False,16,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
